Companies,Headquarters,2011 Tonnage (Millions),2012 Tonnage (Millions),2013 Tonnage (Millions),2014 Tonnage (Millions),2015 Tonnage (Millions),2016 Tonnage (Millions),2015 Ranking,2016 Ranking
Usinas Siderìrgicas de Minas Gerais S.A.,Brazil,6.84,7.16,6.86,6.05,5.01,4.06,64,78
Companhia Siderìrgica Nacional,Brazil,4.87,4.64,4.48,5.41,5.16,4.06,63,79
Rashtriya Ispat Nigam Ltd (VIZAG Steel),India,3.19,3.11,3.11,3.28,3.64,3.82,79,80
Delong Steel,China,3.57,3.75,3.63,3.31,3.31,3.69,85,81
Ezz Steel,Egypt,4.32,4.56,4.33,4.01,3.28,3.66,87,82
"Nisshin Steel Co., Ltd. (acquired by NSSMC in March 2017)",Japan,3.76,3.81,3.7,4.07,3.82,3.65,77,83
Jiyuan Steel,China,2.61,3.25,3.5,3.55,3.41,3.6,83,84
Shiheng Special Steel,China,2.81,2.96,3.07,3.16,3.14,3.54,90,85
Rockcheck Steel,China,2.99,3.22,3.3,3.59,3.55,3.51,82,86
Qianjin Steel,China,3.54,3.43,3.46,3.09,3.65,3.49,78,87
Tianzhu Steel,China,0,0,0,0,3.09,3.49,,88
Jindal Steel and Power Ltd,India,2.62,2.73,2.87,2.95,3.08,3.48,92,89
Xinxing Ductile,China,3.76,4.36,3.65,3.27,3.83,3.48,76,90
Donghua Steel,China,0,0,2.7,3.38,3.27,3.3,88,91
"Dongkuk Steel Mill Co., Ltd.",South Korea,3.07,3.31,3.33,3.04,3.32,3.29,84,92
Taishan Steel,China,2.53,2.81,3.02,3.12,3.26,3.28,89,93
Outokumpu Oyj,Sweden,1.68,1.68,2.97,3.41,2.71,3.2,,94
Emirates Steel,UAE,0,2.38,2.88,2.39,3.01,3.15,94,95
Ganglu Steel,China,3.01,3.06,3.1,3.07,3.07,3.07,93,96
Tranvic Steel,China,0,0,0,2.63,2.66,3.02,,97
Tosyali Holding,Turkey,0,0,0,0,0,3,,98
